iter	Passed	Remaining
0	240	240125
1	262	131145
2	283	94343
3	302	75264
4	318	63363
5	334	55476
6	350	49711
7	366	45429
8	382	42080
9	397	39395
10	416	37422
11	440	36264
12	458	34835
13	474	33433
14	491	32246
15	507	31204
16	522	30241
17	538	29392
18	554	28653
19	572	28040
20	588	27445
21	604	26880
22	625	26565
23	644	26217
24	660	25771
25	677	25391
26	693	24992
27	709	24627
28	725	24283
29	741	23970
30	757	23688
31	775	23457
32	795	23318
33	821	23354
34	845	23302
35	865	23182
36	884	23016
37	903	22877
38	924	22771
39	943	22643
40	962	22503
41	983	22436
42	1003	22335
43	1019	22151
44	1036	21988
45	1052	21819
46	1068	21656
47	1083	21498
48	1100	21362
49	1116	21217
50	1132	21071
51	1155	21059
52	1179	21083
53	1210	21204
54	1226	21076
55	1242	20945
56	1257	20810
57	1273	20685
58	1289	20562
59	1304	20444
60	1322	20355
61	1343	20328
62	1368	20352
63	1384	20242
64	1402	20171
65	1418	20077
66	1434	19979
67	1450	19878
68	1466	19784
69	1482	19694
70	1498	19601
71	1518	19573
72	1540	19557
73	1556	19478
74	1572	19393
75	1588	19314
76	1604	19232
77	1620	19149
78	1636	19073
79	1651	18993
80	1667	18919
81	1683	18846
82	1706	18851
83	1730	18871
84	1746	18803
85	1762	18736
86	1779	18674
87	1796	18621
88	1814	18570
89	1831	18514
90	1849	18471
91	1866	18424
92	1892	18454
93	1917	18482
94	1935	18435
95	1953	18396
96	1972	18359
97	1990	18319
98	2007	18273
99	2026	18234
100	2043	18193
101	2068	18213
102	2094	18243
103	2113	18206
104	2129	18150
105	2145	18095
106	2161	18041
107	2177	17983
108	2193	17930
109	2208	17871
110	2224	17819
111	2243	17784
112	2263	17767
113	2291	17806
114	2315	17822
115	2339	17830
116	2358	17800
117	2378	17779
118	2396	17740
119	2418	17733
120	2437	17705
121	2459	17698
122	2480	17688
123	2500	17663
124	2517	17620
125	2534	17578
126	2550	17534
127	2567	17492
128	2584	17450
129	2600	17406
130	2617	17363
131	2640	17365
132	2663	17361
133	2683	17343
134	2701	17307
135	2719	17279
136	2737	17243
137	2755	17212
138	2776	17197
139	2797	17182
140	2819	17176
141	2838	17152
142	2855	17115
143	2875	17093
144	2892	17055
145	2909	17020
146	2925	16978
147	2941	16935
148	2963	16925
149	2983	16909
150	3000	16871
151	3018	16837
152	3048	16878
153	3067	16851
154	3086	16824
155	3104	16797
156	3122	16766
157	3149	16784
158	3173	16785
159	3195	16778
160	3213	16745
161	3232	16720
162	3251	16694
163	3268	16663
164	3285	16628
165	3303	16595
166	3325	16586
167	3355	16616
168	3379	16618
169	3397	16585
170	3414	16555
171	3435	16537
172	3458	16533
173	3480	16522
174	3505	16523
175	3528	16521
176	3552	16517
177	3574	16506
178	3597	16501
179	3622	16504
180	3646	16498
181	3668	16487
182	3694	16492
183	3718	16492
184	3737	16466
185	3758	16447
186	3777	16423
187	3795	16393
188	3816	16378
189	3833	16343
190	3853	16323
191	3878	16321
192	3898	16299
193	3919	16283
194	3940	16267
195	3962	16253
196	3983	16237
197	4006	16226
198	4023	16195
199	4041	16164
200	4062	16150
201	4082	16127
202	4101	16104
203	4118	16070
204	4137	16046
205	4154	16013
206	4170	15977
207	4187	15942
208	4203	15908
209	4219	15873
210	4242	15863
211	4272	15882
212	4289	15850
213	4306	15818
214	4322	15781
215	4338	15745
216	4354	15711
217	4369	15674
218	4385	15638
219	4401	15603
220	4422	15587
221	4441	15565
222	4456	15529
223	4473	15497
224	4489	15464
225	4507	15438
226	4524	15408
227	4542	15381
228	4559	15349
229	4578	15328
230	4604	15327
231	4626	15315
232	4647	15297
233	4669	15284
234	4688	15261
235	4705	15233
236	4722	15205
237	4739	15174
238	4757	15148
239	4780	15137
240	4801	15122
241	4818	15091
242	4834	15061
243	4850	15027
244	4866	14995
245	4882	14963
246	4900	14939
247	4916	14909
248	4933	14879
249	4957	14872
250	4979	14860
251	4999	14838
252	5030	14852
253	5048	14827
254	5065	14799
255	5086	14782
256	5104	14757
257	5122	14731
258	5142	14712
259	5164	14700
260	5184	14680
261	5202	14653
262	5220	14630
263	5237	14601
264	5254	14572
265	5272	14548
266	5289	14521
267	5307	14497
268	5330	14484
269	5359	14490
270	5376	14463
271	5393	14436
272	5410	14408
273	5427	14382
274	5445	14356
275	5463	14331
276	5479	14301
277	5507	14304
278	5529	14289
279	5548	14267
280	5566	14243
281	5582	14213
282	5598	14183
283	5613	14153
284	5629	14123
285	5645	14094
286	5661	14065
287	5687	14061
288	5709	14046
289	5730	14029
290	5751	14012
291	5771	13994
292	5792	13976
293	5815	13964
294	5837	13949
295	5861	13941
296	5886	13932
297	5911	13926
298	5939	13925
299	5960	13908
300	5983	13895
301	6006	13881
302	6028	13868
303	6055	13864
304	6084	13865
305	6104	13844
306	6123	13823
307	6141	13798
308	6158	13771
309	6174	13743
310	6191	13716
311	6208	13690
312	6228	13669
313	6250	13654
314	6273	13641
315	6295	13626
316	6316	13608
317	6337	13592
318	6359	13575
319	6378	13554
320	6396	13531
321	6417	13512
322	6442	13502
323	6466	13491
324	6492	13483
325	6516	13472
326	6536	13452
327	6559	13439
328	6582	13424
329	6604	13408
330	6632	13404
331	6652	13385
332	6673	13366
333	6691	13343
334	6711	13322
335	6732	13305
336	6753	13287
337	6779	13278
338	6802	13263
339	6828	13254
340	6849	13237
341	6870	13218
342	6902	13221
343	6926	13209
344	6947	13190
345	6972	13179
346	6991	13156
347	7010	13134
348	7029	13111
349	7046	13086
350	7068	13069
351	7089	13051
352	7111	13033
353	7129	13011
354	7152	12995
355	7176	12981
356	7195	12960
357	7216	12940
358	7238	12923
359	7259	12906
360	7280	12886
361	7300	12866
362	7320	12845
363	7341	12826
364	7364	12811
365	7380	12784
366	7401	12766
367	7421	12746
368	7442	12727
369	7460	12702
370	7480	12682
371	7502	12665
372	7524	12648
373	7547	12633
374	7565	12609
375	7583	12585
376	7600	12559
377	7617	12534
378	7635	12510
379	7658	12494
380	7676	12471
381	7699	12455
382	7722	12440
383	7741	12419
384	7762	12400
385	7782	12379
386	7800	12355
387	7820	12334
388	7841	12316
389	7859	12292
390	7887	12284
391	7910	12268
392	7927	12244
393	7945	12220
394	7961	12194
395	7977	12168
396	7994	12142
397	8011	12117
398	8028	12092
399	8045	12068
400	8066	12050
401	8088	12031
402	8104	12005
403	8121	11981
404	8145	11966
405	8167	11950
406	8189	11931
407	8210	11913
408	8233	11896
409	8255	11879
410	8272	11855
411	8290	11831
412	8307	11807
